,Booking_ID,stays_in_weekend_nights,stays_in_week_nights,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,avg_price_per_room,is_canceled,arrival_day
0,INN00001,1,2,224,2017,10,2017-10-02,Offline,65.0,0,2
1,INN00002,2,3,5,2018,11,2018-11-06,Online,106.68,0,6
2,INN00003,2,1,1,2018,2,2018-02-28,Online,60.0,1,28
3,INN00004,0,2,211,2018,5,2018-05-20,Online,100.0,1,20
4,INN00005,1,1,48,2018,4,2018-04-11,Online,94.5,1,11
5,INN00006,0,2,346,2018,9,2018-09-13,Online,115.0,1,13
6,INN00007,1,3,34,2017,10,2017-10-15,Online,107.55,0,15
7,INN00008,1,3,83,2018,12,2018-12-26,Online,105.61,0,26
8,INN00009,0,4,121,2018,7,2018-07-06,Offline,96.9,0,6
9,INN00010,0,5,44,2018,10,2018-10-18,Online,133.44,0,18
10,INN00011,1,0,0,2018,9,2018-09-11,Online,85.03,0,11
11,INN00012,2,1,35,2018,4,2018-04-30,Online,140.4,0,30
12,INN00013,2,1,30,2018,11,2018-11-26,Online,88.0,1,26
13,INN00014,2,0,95,2018,11,2018-11-20,Online,90.0,1,20
14,INN00015,0,2,47,2017,10,2017-10-20,Online,94.5,0,20
15,INN00016,0,2,256,2018,6,2018-06-15,Online,115.0,1,15
16,INN00017,1,0,0,2017,10,2017-10-05,Offline,96.0,0,5
17,INN00018,1,3,1,2017,8,2017-08-10,Online,96.0,0,10
18,INN00019,2,2,99,2017,10,2017-10-30,Online,65.0,1,30
19,INN00020,1,0,12,2017,10,2017-10-04,Offline,72.0,0,4
20,INN00021,2,2,99,2017,10,2017-10-30,Online,65.0,1,30
21,INN00022,0,1,122,2018,11,2018-11-25,Corporate,67.0,0,25
22,INN00023,2,4,2,2018,3,2018-03-20,Offline,85.0,0,20
23,INN00024,0,3,37,2018,10,2018-10-13,Offline,105.0,0,13
24,INN00025,2,1,130,2018,5,2018-05-22,Online,94.5,0,22
25,INN00026,0,2,99,2018,4,2018-04-28,Online,114.3,0,28
26,INN00027,1,1,60,2017,9,2017-09-21,Offline,65.0,0,21
27,INN00028,0,2,2,2018,5,2018-05-19,Aviation,110.0,1,19
28,INN00029,1,2,37,2017,11,2017-11-06,Online,37.33,1,6
29,INN00030,0,2,56,2017,9,2017-09-17,Offline,82.0,0,17
30,INN00031,1,1,3,2017,9,2017-09-19,Online,177.5,0,19
31,INN00032,2,2,107,2018,11,2018-11-13,Online,87.5,0,13
32,INN00033,0,3,56,2018,12,2018-12-07,Online,82.44,0,7
33,INN00034,0,1,2,2018,1,2018-01-09,Online,69.5,0,9
34,INN00035,0,2,72,2018,10,2018-10-07,Offline,85.5,0,7
35,INN00036,0,1,23,2018,4,2018-04-27,Online,115.0,0,27
36,INN00037,2,1,34,2018,6,2018-06-19,Online,81.0,1,19
37,INN00038,0,1,289,2017,10,2017-10-17,Offline,67.0,0,17
38,INN00039,2,3,247,2018,11,2018-11-19,Online,63.75,1,19
39,INN00040,2,1,186,2018,7,2018-07-30,Online,121.8,1,30
40,INN00041,0,4,64,2018,11,2018-11-01,Online,93.6,0,1
41,INN00042,0,2,35,2018,6,2018-06-21,Online,102.0,0,21
42,INN00043,2,1,96,2018,4,2018-04-10,Online,121.8,0,10
43,INN00044,1,1,41,2018,6,2018-06-27,Online,98.1,1,27
44,INN00045,0,4,55,2017,11,2017-11-18,Offline,60.0,0,18
45,INN00046,0,3,146,2017,12,2017-12-29,Offline,75.0,0,29
46,INN00047,0,2,32,2017,11,2017-11-20,Offline,73.0,0,20
47,INN00048,0,1,55,2018,4,2018-04-06,Offline,104.0,0,6
48,INN00049,0,4,57,2018,11,2018-11-01,Online,79.2,0,1
49,INN00050,1,3,7,2018,12,2018-12-29,Online,125.8,0,29
50,INN00051,2,5,124,2018,5,2018-05-30,Online,87.95,0,30
51,INN00052,2,2,169,2018,4,2018-04-22,Online,106.0,1,22
52,INN00053,1,2,6,2018,5,2018-05-16,Online,136.67,0,16
53,INN00054,0,4,51,2017,11,2017-11-11,Offline,60.0,0,11
54,INN00055,1,0,13,2018,6,2018-06-13,Online,89.0,0,13
55,INN00056,1,3,100,2018,5,2018-05-19,Online,136.0,0,19
56,INN00057,0,1,139,2018,7,2018-07-28,Online,94.5,0,28
57,INN00058,1,2,117,2018,12,2018-12-26,Online,93.6,0,26
58,INN00059,1,4,39,2018,4,2018-04-20,Online,120.6,1,20
59,INN00060,0,3,86,2018,4,2018-04-06,Online,99.3,0,6
60,INN00061,0,1,2,2018,9,2018-09-02,Online,258.0,0,2
61,INN00062,0,3,19,2018,5,2018-05-03,Online,120.12,0,3
62,INN00063,0,2,192,2018,6,2018-06-24,Offline,95.0,0,24
63,INN00064,0,1,2,2017,9,2017-09-10,Complementary,0.0,0,10
64,INN00065,2,1,86,2018,12,2018-12-18,Offline,75.0,0,18
65,INN00066,0,3,30,2018,10,2018-10-05,Online,157.5,0,5
66,INN00067,0,2,179,2018,6,2018-06-03,Online,97.7,0,3
67,INN00068,0,2,26,2018,4,2018-04-15,Online,142.0,1,15
68,INN00069,0,1,55,2018,4,2018-04-06,Offline,80.0,0,6
69,INN00070,1,2,74,2018,4,2018-04-25,Online,85.5,0,25
70,INN00071,0,3,143,2018,8,2018-08-25,Offline,100.0,0,25
71,INN00072,1,0,34,2018,11,2018-11-14,Online,88.0,0,14
72,INN00073,1,1,30,2018,8,2018-08-29,Online,122.85,0,29
73,INN00074,0,2,177,2018,6,2018-06-03,Online,100.0,1,3
74,INN00075,2,3,34,2017,10,2017-10-25,Offline,75.0,0,25
75,INN00076,1,4,18,2018,3,2018-03-09,Online,116.8,0,9
76,INN00077,1,1,267,2018,12,2018-12-31,Online,121.5,0,31
77,INN00078,1,2,64,2018,6,2018-06-27,Online,111.9,0,27
78,INN00079,2,5,155,2018,6,2018-06-28,Online,121.55,1,28
79,INN00080,0,5,46,2018,3,2018-03-29,Offline,75.0,0,29
80,INN00081,0,2,83,2018,4,2018-04-01,Online,159.3,1,1
81,INN00082,0,5,128,2018,10,2018-10-11,Online,132.3,1,11
82,INN00083,2,0,20,2018,12,2018-12-25,Online,88.0,0,25
83,INN00084,1,4,40,2018,3,2018-03-14,Online,98.82,0,14
84,INN00085,1,2,46,2018,3,2018-03-04,Online,98.3,0,4
85,INN00086,1,0,1,2018,10,2018-10-17,Online,150.0,0,17
86,INN00087,2,3,196,2018,9,2018-09-04,Online,96.05,0,4
87,INN00088,0,2,188,2018,6,2018-06-15,Online,130.0,1,15
88,INN00089,0,1,17,2018,12,2018-12-10,Online,95.0,0,10
89,INN00090,0,3,146,2018,8,2018-08-09,Offline,113.56,0,9
90,INN00091,1,3,110,2018,5,2018-05-05,Online,101.58,0,5
91,INN00092,1,2,68,2018,3,2018-03-18,Online,105.3,0,18
92,INN00093,2,1,73,2018,4,2018-04-09,Online,115.8,0,9
93,INN00094,0,1,92,2018,5,2018-05-19,Online,149.4,0,19
94,INN00095,2,5,171,2018,8,2018-08-30,Online,111.59,1,30
95,INN00096,0,2,134,2018,8,2018-08-04,Online,130.5,0,4
96,INN00097,0,2,320,2018,8,2018-08-18,Online,115.0,1,18
97,INN00098,0,4,118,2018,4,2018-04-13,Online,90.95,0,13
98,INN00099,0,3,30,2018,11,2018-11-17,Online,76.08,0,17
99,INN00100,1,3,30,2018,12,2018-12-22,Online,156.9,0,22
100,INN00101,1,0,189,2018,10,2018-10-23,Online,85.5,0,23
101,INN00102,1,2,55,2018,5,2018-05-13,Online,159.3,0,13
102,INN00103,0,4,55,2018,12,2018-12-13,Online,74.8,0,13
103,INN00104,0,1,16,2017,10,2017-10-31,Online,95.0,0,31
104,INN00105,0,3,24,2017,10,2017-10-08,Online,107.0,0,8
105,INN00106,0,3,8,2018,2,2018-02-16,Offline,64.0,0,16
106,INN00107,1,4,10,2017,11,2017-11-02,Online,82.95,0,2
107,INN00108,1,3,0,2017,9,2017-09-21,Online,155.0,0,21
108,INN00109,0,1,12,2018,6,2018-06-30,Online,101.68,0,30
109,INN00110,2,1,32,2017,9,2017-09-05,Online,94.5,0,5
110,INN00111,0,2,182,2018,9,2018-09-30,Online,117.9,1,30
111,INN00112,1,0,1,2018,6,2018-06-27,Online,127.0,0,27
112,INN00113,0,3,122,2018,6,2018-06-16,Online,116.1,0,16
113,INN00114,2,3,40,2018,6,2018-06-30,Online,117.9,0,30
114,INN00115,2,2,116,2018,6,2018-06-26,Online,184.24,1,26
115,INN00116,2,2,123,2018,8,2018-08-13,Online,155.7,0,13
116,INN00117,2,5,40,2018,4,2018-04-22,Online,135.76,1,22
117,INN00118,2,5,105,2018,11,2018-11-12,Online,102.83,0,12
118,INN00119,0,1,443,2018,4,2018-04-29,Online,65.0,1,29
119,INN00120,2,3,2,2017,11,2017-11-14,Online,103.0,0,14
120,INN00121,0,3,317,2018,9,2018-09-01,Online,106.2,1,1
121,INN00122,0,2,286,2018,9,2018-09-16,Offline,58.5,0,16
122,INN00123,1,3,68,2018,3,2018-03-10,Online,73.95,1,10
123,INN00124,0,3,148,2018,5,2018-05-05,Online,105.3,0,5
124,INN00125,2,0,68,2018,4,2018-04-24,Online,133.2,0,24
125,INN00126,0,2,30,2018,3,2018-03-30,Offline,85.5,0,30
126,INN00127,0,1,14,2018,11,2018-11-03,Online,112.0,1,3
127,INN00128,0,2,110,2018,10,2018-10-14,Online,190.8,1,14
128,INN00129,2,3,117,2018,6,2018-06-05,Offline,110.0,0,5
129,INN00130,1,4,85,2018,7,2018-07-13,Online,91.48,0,13
130,INN00131,0,2,1,2018,10,2018-10-20,Online,135.0,0,20
131,INN00132,1,2,25,2018,10,2018-10-17,Online,129.0,0,17
132,INN00133,2,4,289,2018,12,2018-12-28,Online,70.55,1,28
133,INN00134,1,4,28,2017,10,2017-10-19,Offline,75.0,0,19
134,INN00135,0,4,80,2018,3,2018-03-29,Online,72.25,0,29
